349,,,AVERAGE,STDEV
148,,,427.625,753.9221263
160,,,,
147,,,,
144,,,,
170,,,,
202,,,,
233,,,,
288,,,,
314,,,,
355,,,,
374,,,,
448,,,,
448,,,,
550,,,,
617,,,,
702,,,,
811,,,,
893,,,,
1000,,,,
1056,,,,
1150,,,,
1247,,,,
1348,,,,
1493,,,,
1585,,,,
1733,,,,
1843,,,,
1886,,,,
1996,,,,
2098,,,,
2215,,,,
2301,,,,
2392,,,,
2459,,,,
2548,,,,
2559,,,,
2621,,,,
2492,,,,
2596,,,,
2613,,,,
2569,,,,
2552,,,,
2580,,,,
2480,,,,
2399,,,,
2337,,,,
2242,,,,
2236,,,,
2108,,,,
2090,,,,
2033,,,,
1866,,,,
1877,,,,
1809,,,,
1726,,,,
1652,,,,
1603,,,,
1422,,,,
1380,,,,
1270,,,,
1181,,,,
1157,,,,
1031,,,,
1021,,,,
966,,,,
913,,,,
792,,,,
814,,,,
768,,,,
722,,,,
655,,,,
601,,,,
604,,,,
501,,,,
488,,,,
464,,,,
416,,,,
379,,,,
338,,,,
364,,,,
323,,,,
281,,,,
269,,,,
272,,,,
238,,,,
237,,,,
217,,,,
204,,,,
162,,,,
159,,,,
159,,,,
138,,,,
143,,,,
116,,,,
118,,,,
100,,,,
87,,,,
110,,,,
91,,,,
75,,,,
63,,,,
74,,,,
73,,,,
63,,,,
45,,,,
47,,,,
50,,,,
45,,,,
36,,,,
30,,,,
46,,,,
30,,,,
24,,,,
41,,,,
17,,,,
25,,,,
19,,,,
20,,,,
20,,,,
16,,,,
17,,,,
16,,,,
15,,,,
7,,,,
8,,,,
6,,,,
8,,,,
9,,,,
8,,,,
13,,,,
6,,,,
6,,,,
5,,,,
4,,,,
8,,,,
5,,,,
8,,,,
5,,,,
3,,,,
2,,,,
2,,,,
4,,,,
1,,,,
2,,,,
1,,,,
2,,,,
2,,,,
0,,,,
2,,,,
2,,,,
3,,,,
3,,,,
3,,,,
2,,,,
3,,,,
2,,,,
0,,,,
2,,,,
3,,,,
0,,,,
0,,,,
1,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
