48,,,AVERAGE,STDEV
22,,,442.0117188,945.51432
29,,,,
36,,,,
49,,,,
78,,,,
63,,,,
75,,,,
82,,,,
114,,,,
135,,,,
172,,,,
228,,,,
265,,,,
290,,,,
306,,,,
353,,,,
423,,,,
476,,,,
543,,,,
612,,,,
705,,,,
708,,,,
783,,,,
891,,,,
1034,,,,
1081,,,,
1226,,,,
1407,,,,
1694,,,,
1790,,,,
2033,,,,
2187,,,,
2306,,,,
2610,,,,
2675,,,,
2912,,,,
3075,,,,
3207,,,,
3394,,,,
3425,,,,
3453,,,,
3484,,,,
3479,,,,
3528,,,,
3473,,,,
3499,,,,
3326,,,,
3348,,,,
3223,,,,
3145,,,,
3016,,,,
2913,,,,
2772,,,,
2576,,,,
2496,,,,
2275,,,,
2231,,,,
1904,,,,
1772,,,,
1611,,,,
1372,,,,
1246,,,,
1145,,,,
981,,,,
923,,,,
763,,,,
722,,,,
617,,,,
579,,,,
493,,,,
434,,,,
411,,,,
331,,,,
283,,,,
246,,,,
229,,,,
180,,,,
128,,,,
161,,,,
114,,,,
105,,,,
104,,,,
84,,,,
57,,,,
53,,,,
44,,,,
42,,,,
28,,,,
23,,,,
28,,,,
21,,,,
15,,,,
13,,,,
14,,,,
12,,,,
10,,,,
6,,,,
8,,,,
5,,,,
2,,,,
2,,,,
6,,,,
4,,,,
7,,,,
2,,,,
6,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
1,,,,
2,,,,
1,,,,
2,,,,
1,,,,
1,,,,
1,,,,
0,,,,
1,,,,
0,,,,
0,,,,
2,,,,
1,,,,
0,,,,
1,,,,
0,,,,
1,,,,
0,,,,
0,,,,
2,,,,
2,,,,
0,,,,
0,,,,
1,,,,
1,,,,
0,,,,
0,,,,
0,,,,
0,,,,
1,,,,
0,,,,
0,,,,
1,,,,
1,,,,
0,,,,
0,,,,
0,,,,
0,,,,
1,,,,
0,,,,
0,,,,
0,,,,
0,,,,
1,,,,
1,,,,
0,,,,
1,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
1,,,,
0,,,,
1,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
