257,,,AVERAGE,STDEV
85,,,433.125,892.2719404
79,,,,
72,,,,
44,,,,
58,,,,
72,,,,
76,,,,
92,,,,
134,,,,
167,,,,
186,,,,
229,,,,
293,,,,
313,,,,
360,,,,
360,,,,
445,,,,
550,,,,
547,,,,
603,,,,
659,,,,
724,,,,
826,,,,
901,,,,
968,,,,
1111,,,,
1183,,,,
1344,,,,
1459,,,,
1617,,,,
1875,,,,
1903,,,,
2223,,,,
2281,,,,
2486,,,,
2778,,,,
2859,,,,
2950,,,,
3090,,,,
3148,,,,
3182,,,,
3262,,,,
3293,,,,
3335,,,,
3244,,,,
3304,,,,
3188,,,,
3180,,,,
3027,,,,
2976,,,,
2897,,,,
2792,,,,
2566,,,,
2596,,,,
2369,,,,
2262,,,,
2148,,,,
1992,,,,
1812,,,,
1572,,,,
1487,,,,
1355,,,,
1228,,,,
1079,,,,
1029,,,,
901,,,,
838,,,,
749,,,,
649,,,,
611,,,,
575,,,,
467,,,,
431,,,,
392,,,,
377,,,,
325,,,,
263,,,,
216,,,,
211,,,,
189,,,,
135,,,,
129,,,,
106,,,,
94,,,,
74,,,,
89,,,,
57,,,,
63,,,,
48,,,,
32,,,,
30,,,,
35,,,,
30,,,,
23,,,,
18,,,,
21,,,,
12,,,,
13,,,,
13,,,,
16,,,,
10,,,,
3,,,,
3,,,,
8,,,,
6,,,,
2,,,,
6,,,,
2,,,,
3,,,,
2,,,,
1,,,,
2,,,,
1,,,,
0,,,,
1,,,,
1,,,,
0,,,,
2,,,,
1,,,,
1,,,,
0,,,,
1,,,,
0,,,,
0,,,,
0,,,,
0,,,,
1,,,,
0,,,,
2,,,,
1,,,,
0,,,,
0,,,,
1,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
1,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
