241,,,AVERAGE,STDEV
94,,,369.3359375,862.1120557
88,,,,
58,,,,
57,,,,
61,,,,
74,,,,
80,,,,
78,,,,
126,,,,
145,,,,
174,,,,
192,,,,
189,,,,
262,,,,
295,,,,
316,,,,
367,,,,
367,,,,
496,,,,
513,,,,
598,,,,
621,,,,
745,,,,
769,,,,
848,,,,
914,,,,
920,,,,
1026,,,,
1188,,,,
1267,,,,
1410,,,,
1547,,,,
1784,,,,
1915,,,,
2006,,,,
2329,,,,
2517,,,,
2720,,,,
2857,,,,
2987,,,,
3134,,,,
3248,,,,
3391,,,,
3457,,,,
3384,,,,
3558,,,,
3510,,,,
3311,,,,
3355,,,,
3312,,,,
3013,,,,
2762,,,,
2682,,,,
2443,,,,
2257,,,,
2079,,,,
1672,,,,
1543,,,,
1275,,,,
1083,,,,
942,,,,
769,,,,
651,,,,
498,,,,
409,,,,
321,,,,
271,,,,
205,,,,
172,,,,
125,,,,
108,,,,
83,,,,
60,,,,
64,,,,
42,,,,
36,,,,
25,,,,
21,,,,
11,,,,
7,,,,
7,,,,
1,,,,
4,,,,
2,,,,
0,,,,
0,,,,
2,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
3,,,,
0,,,,
0,,,,
1,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
