224,,,AVERAGE,STDEV
66,,,383.8359375,945.0520415
47,,,,
50,,,,
35,,,,
45,,,,
46,,,,
62,,,,
51,,,,
72,,,,
75,,,,
67,,,,
113,,,,
111,,,,
160,,,,
173,,,,
198,,,,
221,,,,
272,,,,
323,,,,
355,,,,
445,,,,
479,,,,
525,,,,
599,,,,
537,,,,
610,,,,
780,,,,
842,,,,
985,,,,
1050,,,,
1223,,,,
1396,,,,
1594,,,,
1754,,,,
2072,,,,
2323,,,,
2536,,,,
2950,,,,
2968,,,,
3366,,,,
3488,,,,
3693,,,,
3776,,,,
3812,,,,
3859,,,,
3776,,,,
3991,,,,
3897,,,,
3680,,,,
3591,,,,
3421,,,,
3253,,,,
2985,,,,
2817,,,,
2548,,,,
2234,,,,
1963,,,,
1735,,,,
1481,,,,
1252,,,,
1084,,,,
814,,,,
714,,,,
571,,,,
438,,,,
395,,,,
312,,,,
223,,,,
154,,,,
128,,,,
102,,,,
81,,,,
56,,,,
38,,,,
35,,,,
20,,,,
13,,,,
13,,,,
5,,,,
7,,,,
3,,,,
3,,,,
1,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
