609,,,AVERAGE,STDEV
212,,,456.78125,914.6663289
197,,,,
147,,,,
110,,,,
110,,,,
99,,,,
117,,,,
132,,,,
166,,,,
169,,,,
205,,,,
243,,,,
312,,,,
341,,,,
418,,,,
522,,,,
577,,,,
573,,,,
628,,,,
690,,,,
782,,,,
841,,,,
1011,,,,
1040,,,,
1130,,,,
1275,,,,
1321,,,,
1520,,,,
1633,,,,
1783,,,,
1931,,,,
2186,,,,
2274,,,,
2435,,,,
2556,,,,
2833,,,,
2886,,,,
2951,,,,
3147,,,,
3200,,,,
3307,,,,
3314,,,,
3269,,,,
3276,,,,
3343,,,,
3329,,,,
3184,,,,
3107,,,,
3062,,,,
2968,,,,
2871,,,,
2844,,,,
2760,,,,
2736,,,,
2533,,,,
2371,,,,
2189,,,,
2153,,,,
1827,,,,
1672,,,,
1490,,,,
1431,,,,
1379,,,,
1162,,,,
1144,,,,
955,,,,
921,,,,
815,,,,
697,,,,
613,,,,
592,,,,
526,,,,
459,,,,
434,,,,
399,,,,
289,,,,
269,,,,
224,,,,
210,,,,
177,,,,
150,,,,
147,,,,
111,,,,
108,,,,
80,,,,
81,,,,
79,,,,
61,,,,
46,,,,
41,,,,
36,,,,
27,,,,
27,,,,
12,,,,
30,,,,
19,,,,
11,,,,
12,,,,
11,,,,
12,,,,
9,,,,
7,,,,
6,,,,
5,,,,
1,,,,
5,,,,
4,,,,
4,,,,
3,,,,
2,,,,
5,,,,
2,,,,
3,,,,
4,,,,
5,,,,
4,,,,
4,,,,
1,,,,
2,,,,
2,,,,
3,,,,
3,,,,
6,,,,
4,,,,
2,,,,
3,,,,
3,,,,
1,,,,
0,,,,
3,,,,
1,,,,
3,,,,
0,,,,
1,,,,
2,,,,
2,,,,
1,,,,
2,,,,
0,,,,
4,,,,
1,,,,
3,,,,
1,,,,
2,,,,
5,,,,
2,,,,
0,,,,
3,,,,
0,,,,
2,,,,
1,,,,
3,,,,
0,,,,
2,,,,
1,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
0,,,,
1,,,,
3,,,,
1,,,,
0,,,,
0,,,,
1,,,,
2,,,,
1,,,,
1,,,,
1,,,,
2,,,,
1,,,,
0,,,,
0,,,,
3,,,,
0,,,,
0,,,,
1,,,,
0,,,,
2,,,,
2,,,,
0,,,,
1,,,,
0,,,,
0,,,,
1,,,,
2,,,,
0,,,,
0,,,,
2,,,,
2,,,,
3,,,,
3,,,,
1,,,,
4,,,,
1,,,,
2,,,,
2,,,,
0,,,,
0,,,,
0,,,,
2,,,,
6,,,,
3,,,,
1,,,,
0,,,,
1,,,,
1,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
